Assembly, ClassName
Microsoft.AspNet.FriendlyUrls.dll, Microsoft.AspNet.FriendlyUrls.FriendlyUrlsModule
Microsoft.Web.Infrastructure.dll, Microsoft.Web.Infrastructure.DynamicModuleHelper.IntegratedDynamicModule
web_form_study.dll, web_form_study.module.MyModule
